DATE,YEAR,MONTH,LOP,2022 (TEUS),2023 (TEUS),2024 (TEUS),2025 (TEUS),2026 (TEUS),persentase
2025-06-09,2025,6,MERATUS,,,,2345.0,,0.0
2025-06-10,2025,6,ICON LINE,,,,1333.0,,0.0
2025-06-11,2025,6,PPNP,,,,178.0,,0.0
2025-06-12,2025,6,TEMAS,,,,0.0,,0.0
2025-07-01,2025,7,ICON,,,,1333.0,,0.0
2025-07-02,2025,7,TANTO,,,,33129.0,,0.0
2025-07-03,2025,7,SPIL,,,,3650.0,,0.0
2025-07-04,2025,7,MERATUS,,,,3405.0,,0.0
2025-07-05,2025,7,TEMAS,,,,0.0,,0.0
2025-07-06,2025,7,PPNP,,,,178.0,,0.0
2025-08-01,2025,8,ICON,,,,1333.0,,0.0
2025-08-01,2025,8,TANTO,,,,36676.0,,0.0
2025-08-01,2025,8,SPIL,,,,3650.0,,0.0
2025-08-01,2025,8,MERATUS,,,,3654.0,,0.0
2025-08-01,2025,8,TEMAS,,,,0.0,,0.0
2025-08-01,2025,8,PPNP,,,,236.0,,0.0
2025-09-01,2025,9,TANTO,,,,39923.0,,0.0
2025-09-01,2025,9,SPI,,,,3872.0,,0.0
2025-09-01,2025,9,ICON,,,,1333.0,,0.0
2025-09-01,2025,9,MERATUS,,,,4570.0,,0.0
2025-09-01,2025,9,TEMAS,,,,0.0,,0.0
2025-09-01,2025,9,PPNP,,,,236.0,,0.0
2025-10-01,2025,10,TANTO,,,,44681.0,,0.0
2025-10-01,2025,10,SPI,,,,2664.0,,0.0
2025-10-01,2025,10,MERATUS,,,,4933.0,,0.0
2025-10-01,2025,10,ICON,,,,1333.0,,0.0
2025-10-01,2025,10,TEMAS,,,,0.0,,0.0
2025-10-01,2025,10,PPNP,,,,181.0,,0.0
2025-11-01,2025,11,TANTO,,,,47062.0,,0.0
2025-11-01,2025,11,SPI,,,,3768.0,,0.0
2025-11-01,2025,11,MERATUS,,,,5389.0,,0.0
2025-11-01,2025,11,TEMAS,,,,0.0,,0.0
2025-11-01,2025,11,ICON,,,,1535.0,,0.0
2025-11-01,2025,11,PPNP,,,,181.0,,0.0
2025-12-01,2025,12,TANTO,,,,1262.0,,0.0
2025-12-01,2025,12,MERATUS,,,,731.0,,0.0
2025-12-01,2025,12,SPI,,,,1143.0,,0.0
2025-12-01,2025,12,ICON,,,,0.0,,0.0
2025-12-01,2025,12,PPNP,,,,0.0,,0.0
2025-12-01,2025,12,TEMAS,,,,0.0,,0.0
2026-01-16,2026,1,TANTO,,,,,2928.0,-0.3341
2026-01-17,2026,1,SPI,,,,,2660.0,3.0673
2026-01-18,2026,1,MERATUS,,,,,1346.0,4.562
2026-01-19,2026,1,TEMAS,,,,,0.0,0.0
2026-01-21,2026,1,PPNP,,,,,0.0,0.0
2026-01-22,2026,1,ICON,,,,,0.0,0.0
