TANGGAL,YEAR,MONTH,LOP,TEUS
2023-11-03 00:00:00,2023,11,MERATUS,3162
2023-11-04 00:00:00,2023,11,TEMAS,2451
2023-11-05 00:00:00,2023,11,ICON LINE,2107
2023-12-01 00:00:00,2023,12,TANTO INTIM LINE,39247
2023-12-02 00:00:00,2023,12,SALAM PACIFIC LINE,26392
2023-12-03 00:00:00,2023,12,MERATUS,4257
2023-12-04 00:00:00,2023,12,TEMAS,4048
2023-12-05 00:00:00,2023,12,ICON LINE,2506
2024-01-01 00:00:00,2024,1,TANTO INTIM LINE,4338
2024-01-02 00:00:00,2024,1,SALAM PACIFIC LINE,5559
2024-01-03 00:00:00,2024,1,MERATUS,191
2024-01-04 00:00:00,2024,1,TEMAS,1807
2024-01-05 00:00:00,2024,1,ICON LINE,0
2024-02-01 00:00:00,2024,2,TANTO INTIM LINE,8389
2024-02-02 00:00:00,2024,2,SALAM PACIFIC LINE,9159
2024-02-03 00:00:00,2024,2,MERATUS,191
2024-02-04 00:00:00,2024,2,TEMAS,0
2024-02-05 00:00:00,2024,2,ICON LINE,0
03/2024,2024,3,TANTO,13983
03/2024,2024,3,SPI,11542
03/2024,2024,3,ICN,399
03/2024,2024,3,MERATUS,191
03/2024,2024,3,TEMPURAN EMAS,0
