DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH
2023-07-02 00:00:00,2023,7,MSK,19631.0,12226,21836793254.0,30.5,81.35
2023-07-03 00:00:00,2023,7,EMC,18295.0,12289,19280598136.0,28.6,61.13
2023-07-04 00:00:00,2023,7,COS,13119.0,9070,15543782692.0,22.9,54.62
2023-07-05 00:00:00,2023,7,MSC,12655.0,8673,14569010215.0,27.4,53.89
2023-07-06 00:00:00,2023,7,SSL,12644.0,8225,13904977780.0,30.3,79.15
2023-07-07 00:00:00,2023,7,WHL,8153.0,5478,9624091266.0,31.6,65.96
2023-07-08 00:00:00,2023,7,KMT,3706.0,2611,4424089324.0,18,39.04
2023-07-09 00:00:00,2023,7,SIT,3103.0,2203,3859352323.0,21.9,34.97
2023-07-10 00:00:00,2023,7,ONE,1288.0,830,1465193430.0,33.8,62.06
2023-07-11 00:00:00,2023,7,CMA,1270.0,881,1485786148.0,33.2,73.2
2023-07-12 00:00:00,2023,7,OOL,1248.0,845,1381996116.0,17.4,39.71
2023-07-13 00:00:00,2023,7,YML,1188.0,817,1314147207.0,32.9,67.17
2023-07-14 00:00:00,2023,7,GSL,1083.0,771,1223139608.0,25.1,56.33
2023-07-15 00:00:00,2023,7,BEN,575.0,383,528167979.8,20.4,25.95
2023-07-16 00:00:00,2023,7,ANL,253.0,194,309932136.5,38.2,11.25
2023-07-17 00:00:00,2023,7,LMA,137.0,83,133864406.9,21.5,16.98
2023-08-01 00:00:00,2023,8,CNC,22137.0,14294,24913905374.0,29.9,77.31
2023-08-02 00:00:00,2023,8,EMC,17155.0,11363,18799964442.0,27.8,56.81
2023-08-03 00:00:00,2023,8,MSC,15089.0,9933,16570286666.0,28,61.06
2023-08-04 00:00:00,2023,8,MSK,14606.0,9301,16596981097.0,33.8,103.54
2023-08-05 00:00:00,2023,8,SSL,12457.0,8208,14116950153.0,31.3,78.28
2023-08-06 00:00:00,2023,8,COS,8207.0,5761,9710081842.0,30.8,75.62
2023-08-07 00:00:00,2023,8,WHL,6588.0,4460,7785088541.0,27.4,60.93
2023-08-08 00:00:00,2023,8,KMT,2805.0,2002,3339001031.0,32.1,69.26
2023-08-09 00:00:00,2023,8,GSL,2610.0,1844,2972495302.0,28,58.13
2023-08-10 00:00:00,2023,8,SIT,2539.0,1623,3164279199.0,25.6,35.14
2023-08-11 00:00:00,2023,8,ONE,2538.0,1584,2865263127.0,30,53.47
2023-08-12 00:00:00,2023,8,OOL,2456.0,1724,2827940049.0,21.5,49.89
2023-08-13 00:00:00,2023,8,YML,2387.0,1628,2669804252.0,24.7,51.21
2023-08-14 00:00:00,2023,8,CMA,2284.0,1581,2677201065.0,38.2,76.32
2023-08-15 00:00:00,2023,8,ANL,800.0,488,907074617.7,25.5,23.3
2023-08-16 00:00:00,2023,8,LMA,299.0,243,321991534.1,28,18.19
2023-08-17 00:00:00,2023,8,BEN,276.0,249,313372963.7,23.4,19.9
2023-09-01 00:00:00,2023,9,SSL,20557.0,14072,23691155436.0,28.8,77.85
2023-09-02 00:00:00,2023,9,CNC,19453.0,12434,22636718335.0,30.1,72.6
2023-09-03 00:00:00,2023,9,MSK,17892.0,10961,19971100017.0,29.9,91.29
2023-09-04 00:00:00,2023,9,MSC,17439.0,12214,18785485399.0,29.7,68.83
2023-09-05 00:00:00,2023,9,EMC,16247.0,10349,17551145516.0,29.1,58.86
2023-09-06 00:00:00,2023,9,WHL,7653.0,4966,8933044559.0,24.8,51.99
2023-09-07 00:00:00,2023,9,COS,6027.0,4144,7152676640.0,25.6,75.13
2023-09-08 00:00:00,2023,9,SIT,3494.0,2267,4314835399.0,24.5,39.13
2023-09-09 00:00:00,2023,9,GSL,2916.0,1987,3312785900.0,21.2,51.84
2023-09-10 00:00:00,2023,9,KMT,1986.0,1310,2297554164.0,19.5,40.68
2023-09-11 00:00:00,2023,9,CMA,1254.0,871,1523814406.0,36.8,74.67
2023-09-12 00:00:00,2023,9,OOL,1223.0,873,1418792308.0,33.5,73.17
2023-09-13 00:00:00,2023,9,YML,1188.0,814,1352140092.0,28.7,58.98
2023-09-14 00:00:00,2023,9,ONE,1126.0,786,1334280119.0,39,79.31
2023-09-15 00:00:00,2023,9,ANL,1047.0,644,1192396563.0,23.8,20.2
2023-09-16 00:00:00,2023,9,BEN,432.0,331,466942005.4,26.1,23.93
2023-09-17 00:00:00,2023,9,LMA,194.0,138,215776772.3,20.1,15.14
2023-10-01 00:00:00,2023,10,SSL,22901.0,16140,27278259885.0,31.1,76.57
2023-10-02 00:00:00,2023,10,MSK,21525.0,13044,24968732861.0,29.9,77.19
2023-10-03 00:00:00,2023,10,EMC,17411.0,11587,19590560500.0,26.9,57.84
2023-10-04 00:00:00,2023,10,CNC,17411.0,11022,20235009463.0,26.4,65.8
2023-10-05 00:00:00,2023,10,MSC,12745.0,8256,14511755154.0,26.6,54.74
2023-10-06 00:00:00,2023,10,COS,10870.0,7254,13156989892.0,28.2,70.99
2023-10-07 00:00:00,2023,10,WHL,6855.0,4790,8544952425.0,19.3,40.86
2023-10-08 00:00:00,2023,10,KMT,2962.0,2026,3673435251.0,24.7,44.65
