DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH,AVERAGE CD,TEUS 2023,BOX 2023,DPP 2023,BCH 2023,BSH 2023,AVERAGE CD 2023
2023-03-11 00:00:00,2023,3,KMT,2589.0,1819,3146256255,23.6,33.62,2,6304.0,4506.0,7596866631,27.0,41.0,2.0
2023-03-12 00:00:00,2023,3,RCL,2512.0,1786,2880645844,22,45.95,2,5744.0,3869.0,6306388875,27.0,51.0,2.0
2023-03-13 00:00:00,2023,3,YML,2365.0,1656,2632048009,26.2,50.9,2,5064.0,3517.0,5604535873,34.0,57.0,2.0
2023-03-14 00:00:00,2023,3,ONE,1490.0,1071,1695266006,34.4,65.81,2,4897.0,3282.0,5487903281,29.0,58.0,2.0
2023-03-15 00:00:00,2023,3,OOL,1457.0,965,1617593638,25.6,49.04,2,3370.0,2339.0,3929139090,27.0,48.0,2.0
2023-03-16 00:00:00,2023,3,ANL,1086.0,680,1306075082,23.2,16.36,2,1461.0,914.0,1813986307,21.0,13.0,2.0
2023-03-17 00:00:00,2023,3,PIL,906.0,660,1050430537,28.6,34.21,2,327.0,270.0,319486880,25.0,32.0,2.0
2023-03-18 00:00:00,2023,3,LMA,327.0,270,319486879.9,25.2,31.63,0,218.0,185.0,252359197,18.0,19.0,0.0
2023-04-01 00:00:00,2023,4,CNC,17947.0,11563,19436230431,33,62.18,8,69994.0,45841.0,78252610072,30.0,58.0,8.0
2023-04-02 00:00:00,2023,4,MSK,17456.0,11046,19298366025,32.5,75.34,8,56515.0,37396.0,61989092833,30.0,51.0,8.0
2023-04-03 00:00:00,2023,4,SSL,12378.0,7859,13423747328,34.1,75.44,2,54304.0,34205.0,61033281263,31.0,76.0,2.0
2023-04-04 00:00:00,2023,4,EMC,12310.0,8028,13340278773,28.2,47.6,2,53301.0,31467.0,59771873625,35.0,85.0,2.0
2023-04-05 00:00:00,2023,4,MSC,10377.0,7352,12047124105,31,50.78,4,41886.0,28412.0,48156267360,33.0,71.0,4.0
2023-04-06 00:00:00,2023,4,COS,9527.0,6604,11002126486,33.4,73.41,4,40005.0,28341.0,47348320654,30.0,51.0,4.0
2023-04-07 00:00:00,2023,4,WHL,6306.0,4111,7352983240,24.5,45.5,4,31158.0,19841.0,35070411937,26.0,45.0,4.0
2023-04-08 00:00:00,2023,4,CMA,5242.0,3241,5698975095,29.4,58.09,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-04-09 00:00:00,2023,4,SIT,2872.0,2091,3468615851,20.3,27.73,3,11337.0,8008.0,14129794801,22.0,28.0,3.0
2023-04-10 00:00:00,2023,4,OOL,1995.0,1427,2193242770,24.4,51.63,0,8382.0,5847.0,9771781402,30.0,44.0,0.0
2023-04-11 00:00:00,2023,4,ONE,1799.0,1204,2096677564,26.3,47.65,2,7844.0,5603.0,9408346220,27.0,41.0,2.0
2023-04-12 00:00:00,2023,4,KMT,1540.0,1097,1811479589,29.4,42.48,2,6894.0,4640.0,7524735649,25.0,47.0,2.0
2023-04-13 00:00:00,2023,4,GSL,1267.0,899,1404349560,30.4,49.47,2,6892.0,4709.0,7681146051,28.0,56.0,2.0
2023-04-14 00:00:00,2023,4,YML,1150.0,771,1218346774,19.2,35.67,2,6331.0,4416.0,7008885433,33.0,55.0,2.0
2023-04-15 00:00:00,2023,4,ANL,364.0,225,410331037,22.1,14.31,2,5169.0,3543.0,6025816654,27.0,48.0,2.0
2023-05-01 00:00:00,2023,5,CNC,23249.0,15265,25143106207,33.4,75.29,12,98826.0,64699.0,109304095193,31.0,62.0,12.0
2023-05-02 00:00:00,2023,5,EMC,17544.0,11713,18548851539,31.8,63.87,9,74059.0,49109.0,80537944372,30.0,54.0,9.0
2023-05-03 00:00:00,2023,5,SSL,15527.0,10091,16870173301,28,69.66,3,68828.0,41558.0,76642046926,34.0,82.0,3.0
2023-05-04 00:00:00,2023,5,MSC,15083.0,10221,16872470105,30.5,64.3,2,68296.0,42800.0,76329303824,31.0,76.0,2.0
2023-05-05 00:00:00,2023,5,MSK,13992.0,8595,15296022560,32.3,77.82,5,55088.0,38562.0,64220790759,30.0,54.0,5.0
2023-05-06 00:00:00,2023,5,COS,11186.0,7518,12618502825,25.9,64.93,4,53072.0,35930.0,60774770185,32.0,70.0,4.0
2023-05-07 00:00:00,2023,5,WHL,6663.0,4525,7782746218,31.5,61.22,4,37821.0,24366.0,42853158155,27.0,48.0,4.0
2023-05-08 00:00:00,2023,5,CMA,5583.0,3593,5908378914,34.9,76.09,3,13974.0,9906.0,17305046325,22.0,29.0,3.0
2023-05-09 00:00:00,2023,5,SIT,2637.0,1898,3175251523,22.5,34.6,0,12780.0,8939.0,14580944558,23.0,44.0,0.0
2023-05-10 00:00:00,2023,5,YML,2525.0,1751,2727190139,25.3,62.61,2,10196.0,7183.0,12099249665,26.0,41.0,2.0
2023-05-11 00:00:00,2023,5,GSL,2496.0,1860,2754394664,43.3,75.5,2,9419.0,6391.0,10251925789,25.0,50.0,2.0
2023-05-12 00:00:00,2023,5,KMT,2352.0,1580,2690903445,17.9,42.5,2,8827.0,6276.0,9763280097,35.0,59.0,2.0
2023-05-13 00:00:00,2023,5,OOL,1318.0,909,1442418094,25.6,64.93,0,8382.0,5847.0,9771781402,30.0,44.0,0.0
