DATE,YEAR,MONTH_CODE,MONTH,LOP,TEUS ,Boxes,BCH,BSH
2024-12-04,2024,12,December,MAA,1638,1638,21,39
2024-12-05,2024,12,December,ICN,1386,1386,22,26
2024-12-06,2024,12,December,PNJ,671,671,27,18
2024-12-07,2024,12,December,TAS,0,0,0,0
2024-12-08,2024,12,December,CTP,0,0,0,0
2025-01-01,2025,1,January,TIL,4397,4397,27,16
2025-01-02,2025,1,January,SPI,921,921,22,16
2025-01-03,2025,1,January,ICN,377,377,27,14
2025-01-04,2025,1,January,MPN,244,244,19,13
2025-01-05,2025,1,January,MAA,0,0,0,0
2025-01-06,2025,1,January,PNJ,0,0,0,0
2025-01-07,2025,1,January,TAS,0,0,0,0
2025-01-08,2025,1,January,CTP,0,0,0,0
2025-02-08,2025,2,February,TIL,9153,9153,26,18
2025-02-08,2025,2,February,SPI,2590,2590,22,15
2025-02-08,2025,2,February,ICN,1096,1096,25,16
2025-02-08,2025,2,February,MPN,817,817,18,13
2025-02-08,2025,2,February,MAA,0,0,0,0
2025-02-08,2025,2,February,PNJ,0,0,0,0
2025-02-08,2025,2,February,TAS,0,0,0,0
2025-02-08,2025,2,February,CTP,0,0,0,0
2025-03-08,2025,3,March,TIL,13621,13621,26,18
2025-03-08,2025,3,March,SPI,3112,3112,20,13
2025-03-08,2025,3,March,ICN,1333,1333,23,15
2025-03-08,2025,3,March,MPN,1202,1202,17,12
2025-03-08,2025,3,March,PNJ,178,178,18,12
2025-03-08,2025,3,March,MAA,-,-,-,-
2025-03-08,2025,3,March,TAS,-,-,-,-
2025-03-08,2025,3,March,CTP,-,-,-,-
2025-04-08,2025,4,April,TIL,16903,16903,27,18
2025-04-08,2025,4,April,SPI,3112,3112,20,13
2025-04-08,2025,4,April,ICN,1333,1333,23,15
2025-04-08,2025,4,April,MPN,2094,2094,19,15
2025-04-08,2025,4,April,PNJ,178,178,18,12
2025-04-08,2025,4,April,MAA,-,-,-,-
2025-04-08,2025,4,April,TAS,-,-,-,-
2025-04-08,2025,4,April,CTP,-,-,-,-
2025-05-08,2025,5,May,TIL,22129,22129,26,18
2025-05-09,2025,5,May,SPI,3545,3545,21,15
2025-05-10,2025,5,May,MPN,2404,2404,18,14
2025-05-11,2025,5,May,ICN,1333,1333,23,15
2025-05-12,2025,5,May,PNJ,178,178,18,12
2025-05-13,2025,5,May,MAA,-,-,-,-
2025-05-14,2025,5,May,TAS,-,-,-,-
2025-05-15,2025,5,May,CTP,-,-,-,-
2025-06-16,2025,6,June,TIL,27676,27676,26,18
2025-06-16,2025,6,June,SPI,3650,3650,20,14
2025-06-16,2025,6,June,MPN,2404,2404,18,14
2025-06-16,2025,6,June,ICN,1333,1333,23,15
2025-06-17,2025,6,June,PNJ,178,178,18,12
2025-06-18,2025,6,June,MAA,-,-,-,-
2025-06-19,2025,6,June,TAS,-,-,-,-
2025-06-20,2025,6,June,CTP,-,-,-,-
2025-07-01,2025,7,July,TIL,33129,33129,27,19
2025-07-02,2025,7,July,SPI,3650,3650,20,14
2025-07-03,2025,7,July,MPN,3405,3405,18,15
2025-07-04,2025,7,July,ICN,1333,1333,23,15
2025-07-05,2025,7,July,PNJ,178,178,18,12
2025-07-06,2025,7,July,MAA,-,-,-,-
2025-07-07,2025,7,July,TAS,-,-,-,-
2025-07-08,2025,7,July,CTP,-,-,-,-
2025-08-01,2025,8,August,TIL,36676,36676,26,18
2025-08-02,2025,8,August,SPI,3650,3650,20,14
2025-08-03,2025,8,August,MPN,3654,3654,18,14
2025-08-04,2025,8,August,ICN,1333,1333,23,15
2025-08-05,2025,8,August,PNJ,236,236,21,13
2025-08-06,2025,8,August,MAA,-,-,-,-
2025-08-07,2025,8,August,TAS,-,-,-,-
2025-08-08,2025,8,August,CTP,-,-,-,-
2025-09-09,2025,9,September,TIL,39923,39923,27,19
2025-09-09,2025,9,September,SPI,3872,3872,19,13
2025-09-09,2025,9,September,MPN,4570,4570,18,15
2025-09-09,2025,9,September,ICN,1333,1333,23,15
2025-09-09,2025,9,September,PNJ,236,236,21,13
2025-09-09,2025,9,September,MAA,-,-,-,-
2025-09-09,2025,9,September,TAS,-,-,-,-
2025-09-09,2025,9,September,CTP,-,-,-,-
2025-10-09,2025,10,October,TIL,44618,44618,27,19
2025-10-10,2025,10,October,SPI,5132,5132,18,15
2025-10-11,2025,10,October,MPN,3872,3872,19,13
2025-10-12,2025,10,October,ICN,1333,1333,23,15
2025-10-13,2025,10,October,PNJ,236,236,21,13
2025-10-14,2025,10,October,MAA,-,-,-,-
2025-10-15,2025,10,October,TAS,-,-,-,-
2025-10-16,2025,10,October,CTP,-,-,-,-
2025-11-01,2025,11,November,TIL,49863,49863,27,18
2025-11-01,2025,11,November,SPI,5790,5790,18,14
2025-11-01,2025,11,November,MPN,5121,5121,20,14
2025-11-01,2025,11,November,ICN,1535,1535,22,15
2025-11-01,2025,11,November,PNJ,236,236,21,13
2025-11-01,2025,11,November,MAA,-,-,-,-
2025-11-01,2025,11,November,TAS,-,-,-,-
2025-11-01,2025,11,November,CTP,-,-,-,-
