DATE,YEAR,MONTH,LOP,TEUS ,BOX,DPP,BCH,BSH
2024-11-01,2024,11,ICN,152,132,48093290,23,7
2024-11-01,2024,11,TIL,4401,3941,1979038105,27,20
2024-11-01,2024,11,PNJ,0,0,0,0,0
2024-12-01,2024,12,TIL,47565,42760,21515092429,27,22
2024-12-02,2024,12,SPI,23645,21183,13111255684,20,18
2024-12-03,2024,12,MPN,3130,2642,1471449624,22,15
2024-12-04,2024,12,MAA,1638,851,1657678972,21,39
2024-12-05,2024,12,ICN,1386,1132,456129051,22,26
2024-12-06,2024,12,PNJ,671,621,376302903,27,18
2024-12-07,2024,12,TAS,0,0,0,0,0
2024-12-08,2024,12,CTP,0,0,0,0,0
2025-01-01,2025,1,TIL,4397,3905,2091200473,27,16
2025-01-02,2025,1,SPI,921,851,330250895,22,16
2025-01-03,2025,1,ICN,377,321,125732785,27,14
2025-01-04,2025,1,MPN,244,166,63754467,19,13
2025-01-05,2025,1,MAA,0,0,0,0,0
2025-01-06,2025,1,PNJ,0,0,0,0,0
2025-01-07,2025,1,TAS,0,0,0,0,0
2025-01-08,2025,1,CTP,0,0,0,0,0
2025-02-08,2025,2,TIL,9153,8219,4444586002,26,18
2025-02-08,2025,2,SPI,2590,2256,1065940316,22,15
2025-02-08,2025,2,ICN,1096,916,329242850,25,16
2025-02-08,2025,2,MPN,817,660,500436765,18,13
2025-02-08,2025,2,MAA,0,0,0,0,0
2025-02-08,2025,2,PNJ,0,0,0,0,0
2025-02-08,2025,2,TAS,0,0,0,0,0
2025-02-08,2025,2,CTP,0,0,0,0,0
