TAHUN,MONTH,DESCRIPTION,UNIT,2022 ACTUAL,2022 BUDGET,2022 ACTUAL VS 2022 BUDGET,2023 ACTUAL,2023 BUDGET,2023 ACTUAL VS 2023 BUDGET,2024 ACTUAL ,2024 BUDGET,2024 ACTUAL VS 2024 ACTUAL BUDGET,2025 ACTUAL,2025 BUDGET,2025 ACTUAL VS 2025 BUDGET,2026 ACTUAL,2026 BUDGET,2026 ACTUAL VS 2026 BUDGET
,10,Kumulatif International,TEUs,1069456,1137223,-0.05958989573724771,1138338,1080949,0.05309131143097412,1144012.59,987644.179,0.1583246419356461,1253933,1269586,-0.012329215980642516,,,
,10,International,TEUs,113762,118695,-0.0416,128720,112960,0.1395,136937.0,119424.0,0.1466,138106,139377,-0.009119151653429136,,,
,10,Kumulatif Domestic,TEUs,62749,73144,-0.14211692004812426,55251,69116,-0.20060478036923435,61043.697,53682.638999999996,0.13712176109673013,53140,72945,-0.27150592912468297,,,
,10,Domestic,TEUs,3775,8240,-0.5419,7281,7786,-0.0649,6256.0,6527.0,-0.0415,5257,6835,-0.23087051938551573,,,
,11,Kumulatif International,TEUs,1177617,1252475,-0.059768059242699456,1251167,1194431,0.04750044163287792,1265717.59,1108666.179,0.14165797962887083,1379296,1396683,-0.012448780431923323,,,
,11,International,TEUs,108161,115252,-0.0615,112829,113482,-0.0058,121705.0,121022.0,0.0056,125364,127097,-0.01363525496274498,,,
,11,Kumulatif Domestic,TEUs,67740,80241,-0.15579317306613827,63824,75823,-0.1582501351832557,66054.697,60296.638999999996,0.09549550514747596,60494,81330,-0.25619082749293,,,
,11,Domestic,TEUs,4991,7097,-0.2967,8573,6707,-0.0058,5011.0,6614.0,-0.2424,7354,8385,-0.12295766249254625,,,
,12,Kumulatif International,TEUs,1293496,1373153,-0.058010287273158934,1375929,1307402,0.05241463604920282,1508743.0,1336985.0,0.12846666192964018,1509592,1534984,-0.01654219197073059,,,
,12,International,TEUs,115879,120678,-0.0398,124762,112971,0.1044,141540.0,125243.0,0.130123040808668,130295,83315,0.5638840544919883,,,
,12,Kumulatif Domestic,TEUs,183619,200919,-0.08610435050940923,73714,83451,-0.11667924890055237,76031.0,72774.0,0.04475499491576662,68265,90506,-0.24574061388195256,,,
,12,Domestic,TEUs,115879,120678,-0.0398,9890,7628,0.2965,6283.0,6844.0,-0.08196960841613088,7771,9176,-0.15311682650392333,,,
