Nama Sheet,Nama Kolom,Tipe Data
DOMESTIC,DATE,datetime64[ns]
DOMESTIC,YEAR,int64
DOMESTIC,MONTH_CODE,int64
DOMESTIC,MONTH,object
DOMESTIC,LOP,object
DOMESTIC,TEUS ,object
DOMESTIC,Boxes,object
DOMESTIC,BCH,object
DOMESTIC,BSH,object
INTERNATIONAL,DATE,datetime64[ns]
INTERNATIONAL,YEAR,int64
INTERNATIONAL,MONTH_CODE,int64
INTERNATIONAL,MONTH,object
INTERNATIONAL,LOP,object
INTERNATIONAL,TEUS ,float64
INTERNATIONAL,Boxes,float64
INTERNATIONAL,BCH,float64
INTERNATIONAL,BSH,float64
