tanggal,year,month,lop,teus,persentase,sumber_sheet
2022-04-16 00:00:00,2022,4,SSL,6659,-0.6369223205506391,SL INT
2022-04-17 00:00:00,2022,4,PIL,9897,-1.0990455991516437,SL INT
2022-04-18 00:00:00,2022,4,ANL,3304,-0.2831067961165048,SL INT
2022-04-19 00:00:00,2022,4,HMM,6193,-2.4253318584070795,SL INT
2022-04-20 00:00:00,2022,4,XCL,5196,-4.280487804878049,SL INT
2022-04-21 00:00:00,2022,4,MELL,480,-0.3714285714285714,SL INT
2022-04-22 00:00:00,2022,4,BEN,0,0.0,SL INT
2022-04-23 00:00:00,2022,4,KRL,318,-3.5428571428571427,SL INT
2022-04-24 00:00:00,2022,4,KSL,285,0.0,SL INT
2022-05-01 00:00:00,2022,5,CMA,60113,0.2402396329672274,SL INT
2022-05-02 00:00:00,2022,5,EMC,65036,0.1124152143354305,SL INT
2022-05-03 00:00:00,2022,5,MSK,75633,-0.1443593778369545,SL INT
2022-05-04 00:00:00,2022,5,MSC,50535,0.0749418806860824,SL INT
2022-05-05 00:00:00,2022,5,ONE,52795,-0.0002462960857868,SL INT
2022-05-06 00:00:00,2022,5,WHL,27038,0.2986979301758572,SL INT
2022-05-07 00:00:00,2022,5,COSCO,56025,-0.5699433951689739,SL INT
2022-05-08 00:00:00,2022,5,OOCL,22510,0.1820494186046511,SL INT
2022-05-09 00:00:00,2022,5,RCL,7563,0.5371197747720179,SL INT
2022-05-10 00:00:00,2022,5,HAPAG,10481,0.3067204656700621,SL INT
2022-05-11 00:00:00,2022,5,SITC,16806,-0.0952101661779081,SL INT
2022-05-12 00:00:00,2022,5,KMTC,11364,-0.1076023391812865,SL INT
2022-05-13 00:00:00,2022,5,YML,11682,0.0694599330890552,SL INT
2022-05-14 00:00:00,2022,5,GSL,4695,0.481959616021185,SL INT
2022-05-15 00:00:00,2022,5,OTHERS,11760,-0.1558875565166109,SL INT
2022-05-16 00:00:00,2022,5,SSL,8756,-0.6107431935246505,SL INT
2022-05-17 00:00:00,2022,5,PIL,11250,-1.0222901312241597,SL INT
2022-05-18 00:00:00,2022,5,ANL,4080,-0.1349095966620306,SL INT
2022-05-19 00:00:00,2022,5,HMM,7059,-1.954792800334868,SL INT
2022-05-20 00:00:00,2022,5,XCL,5932,-3.5282442748091603,SL INT
2022-05-21 00:00:00,2022,5,MELL,495,-0.2595419847328244,SL INT
2022-05-22 00:00:00,2022,5,BEN,0,0.0,SL INT
2022-05-23 00:00:00,2022,5,KRL,318,-3.5428571428571427,SL INT
2022-05-24 00:00:00,2022,5,KSL,333,0.0,SL INT
2022-06-01 00:00:00,2022,6,CMA,78840,0.1664640270656023,SL INT
2022-06-02 00:00:00,2022,6,EMC,80647,0.0972114943300757,SL INT
2022-06-03 00:00:00,2022,6,MSK,89453,-0.0576641127506621,SL INT
2022-06-04 00:00:00,2022,6,MSC,59848,0.0905112151237006,SL INT
2022-06-05 00:00:00,2022,6,ONE,63478,0.0143014643084519,SL INT
2022-06-06 00:00:00,2022,6,WHL,31937,0.2745712663259512,SL INT
2022-06-07 00:00:00,2022,6,COSCO,67829,-0.5739412924933287,SL INT
2022-06-08 00:00:00,2022,6,OOCL,27553,0.1519544475223145,SL INT
2022-06-09 00:00:00,2022,6,RCL,11183,0.436255482179765,SL INT
2022-06-10 00:00:00,2022,6,HAPAG,12908,0.2890504516413307,SL INT
2022-06-11 00:00:00,2022,6,SITC,19090,-0.030443700744899,SL INT
2022-06-12 00:00:00,2022,6,KMTC,12493,0.0742497221193034,SL INT
2022-06-13 00:00:00,2022,6,YML,13911,0.1017047655947307,SL INT
2022-06-14 00:00:00,2022,6,GSL,6009,0.4400335476656416,SL INT
2022-06-15 00:00:00,2022,6,OTHERS,14710,-0.1994455316373124,SL INT
2022-06-16 00:00:00,2022,6,SSL,10483,-0.485896527285613,SL INT
2022-06-17 00:00:00,2022,6,PIL,12657,-0.929714895563348,SL INT
2022-06-18 00:00:00,2022,6,ANL,5269,-0.2509496676163343,SL INT
2022-06-19 00:00:00,2022,6,HMM,7819,-1.5805280528052803,SL INT
2022-06-20 00:00:00,2022,6,XCL,6536,-3.3170409511228534,SL INT
2022-06-21 00:00:00,2022,6,MELL,496,0.3288227334235453,SL INT
2022-06-22 00:00:00,2022,6,BEN,0,0.0,SL INT
2022-06-23 00:00:00,2022,6,KRL,510,-6.285714285714286,SL INT
2022-06-24 00:00:00,2022,6,KSL,778,0.0,SL INT
2022-07-01 00:00:00,2022,7,CMA,96589,0.1748620342052657,SL INT
2022-07-02 00:00:00,2022,7,EMC,95541,0.1083933704132293,SL INT
2022-07-03 00:00:00,2022,7,MSK,103180,-0.0206746463547334,SL INT
2022-07-04 00:00:00,2022,7,MSC,69137,0.1193524144343816,SL INT
2022-07-05 00:00:00,2022,7,ONE,72893,0.0361638546570053,SL INT
2022-07-06 00:00:00,2022,7,WHL,37284,0.2809257473481196,SL INT
2022-07-07 00:00:00,2022,7,COSCO,79527,-0.6020426663443524,SL INT
2022-07-08 00:00:00,2022,7,OOCL,32599,0.1281125464708871,SL INT
2022-07-09 00:00:00,2022,7,RCL,13863,0.4270540585220698,SL INT
2022-07-10 00:00:00,2022,7,HAPAG,15329,0.2810037523452157,SL INT
2022-07-11 00:00:00,2022,7,SITC,22566,-0.0203933981460547,SL INT
2022-07-12 00:00:00,2022,7,KMTC,14851,0.1168529971455756,SL INT
2022-07-13 00:00:00,2022,7,YML,17092,0.0289739802295193,SL INT
2022-07-14 00:00:00,2022,7,GSL,7917,0.3442935232731489,SL INT
2022-07-15 00:00:00,2022,7,OTHERS,18015,-0.3128552689112374,SL INT
2022-07-16 00:00:00,2022,7,SSL,11575,-0.3358338141950375,SL INT
2022-07-17 00:00:00,2022,7,PIL,13925,-0.7829705505761844,SL INT
2022-07-18 00:00:00,2022,7,ANL,6282,-0.1768452603971524,SL INT
2022-07-19 00:00:00,2022,7,HMM,8887,-1.1975766567754698,SL INT
2022-07-20 00:00:00,2022,7,XCL,7228,-2.7104722792607805,SL INT
2022-07-21 00:00:00,2022,7,MELL,502,0.6351744186046512,SL INT
2022-07-22 00:00:00,2022,7,BEN,0,0.0,SL INT
