tanggal,year,month,lop,teus,sumber_sheet
2022-12-04 00:00:00,2022,12,TEMAS,0,SL DOM
2022-12-05 00:00:00,2022,12,ICON LINE,25431,SL DOM
2023-01-01 00:00:00,2023,1,TANTO INTIM LINE,3496,SL DOM
2023-01-02 00:00:00,2023,1,SALAM PACIFIC LINE,548,SL DOM
2023-01-03 00:00:00,2023,1,MERATUS,257,SL DOM
2023-01-04 00:00:00,2023,1,TEMAS,0,SL DOM
2023-01-05 00:00:00,2023,1,ICON LINE,0,SL DOM
2023-02-01 00:00:00,2023,2,TANTO INTIM LINE,6583,SL DOM
2023-02-02 00:00:00,2023,2,SALAM PACIFIC LINE,728,SL DOM
2023-02-03 00:00:00,2023,2,MERATUS,482,SL DOM
2023-02-04 00:00:00,2023,2,TEMAS,0,SL DOM
2023-02-05 00:00:00,2023,2,ICON LINE,0,SL DOM
2023-03-01 00:00:00,2023,3,TANTO INTIM LINE,8317,SL DOM
2023-03-02 00:00:00,2023,3,SALAM PACIFIC LINE,1650,SL DOM
2023-03-03 00:00:00,2023,3,MERATUS,682,SL DOM
2023-03-04 00:00:00,2023,3,TEMAS,0,SL DOM
2023-03-05 00:00:00,2023,3,ICON LINE,0,SL DOM
2023-04-01 00:00:00,2023,4,TANTO INTIM LINE,9449,SL DOM
2023-04-02 00:00:00,2023,4,SALAM PACIFIC LINE,1650,SL DOM
2023-04-03 00:00:00,2023,4,MERATUS,715,SL DOM
2023-04-04 00:00:00,2023,4,TEMAS,0,SL DOM
2023-04-05 00:00:00,2023,4,ICON LINE,0,SL DOM
2023-05-01 00:00:00,2023,5,TANTO INTIM LINE,21205,SL DOM
2023-05-02 00:00:00,2023,5,SALAM PACIFIC LINE,1650,SL DOM
2023-05-03 00:00:00,2023,5,MERATUS,730,SL DOM
2023-05-04 00:00:00,2023,5,TEMAS,730,SL DOM
2023-05-05 00:00:00,2023,5,ICON LINE,0,SL DOM
2023-06-01 00:00:00,2023,6,TANTO INTIM LINE,24028,SL DOM
2023-06-02 00:00:00,2023,6,SALAM PACIFIC LINE,3778,SL DOM
2023-06-03 00:00:00,2023,6,MERATUS,858,SL DOM
2023-06-04 00:00:00,2023,6,TEMAS,0,SL DOM
2023-06-05 00:00:00,2023,6,ICON LINE,0,SL DOM
2023-07-01 00:00:00,2023,7,TANTO INTIM LINE,24075,SL DOM
2023-07-02 00:00:00,2023,7,SALAM PACIFIC LINE,4875,SL DOM
2023-07-03 00:00:00,2023,7,MERATUS,1468,SL DOM
2023-07-04 00:00:00,2023,7,TEMAS,910,SL DOM
2023-07-05 00:00:00,2023,7,ICON LINE,164,SL DOM
2023-08-01 00:00:00,2023,8,TANTO INTIM LINE,28179,SL DOM
2023-08-02 00:00:00,2023,8,SALAM PACIFIC LINE,7515,SL DOM
2023-08-03 00:00:00,2023,8,MERATUS,2013,SL DOM
2023-08-04 00:00:00,2023,8,TEMAS,1039,SL DOM
2023-08-05 00:00:00,2023,8,ICON LINE,1026,SL DOM
2023-09-01 00:00:00,2023,9,TANTO INTIM LINE,31025,SL DOM
2023-09-02 00:00:00,2023,9,SALAM PACIFIC LINE,11363,SL DOM
2023-09-03 00:00:00,2023,9,MERATUS,2020,SL DOM
2023-09-04 00:00:00,2023,9,TEMAS,1039,SL DOM
2023-09-05 00:00:00,2023,9,ICON LINE,2107,SL DOM
2023-10-01 00:00:00,2023,10,TANTO INTIM LINE,33045,SL DOM
2023-10-02 00:00:00,2023,10,SALAM PACIFIC LINE,16145,SL DOM
2023-10-03 00:00:00,2023,10,MERATUS,2129,SL DOM
2023-10-04 00:00:00,2023,10,TEMAS,1333,SL DOM
2023-10-05 00:00:00,2023,10,ICON LINE,2107,SL DOM
2023-11-01 00:00:00,2023,11,TANTO INTIM LINE,36194,SL DOM
2023-11-02 00:00:00,2023,11,SALAM PACIFIC LINE,21009,SL DOM
2023-11-03 00:00:00,2023,11,MERATUS,3162,SL DOM
2023-11-04 00:00:00,2023,11,TEMAS,2451,SL DOM
2023-11-05 00:00:00,2023,11,ICON LINE,2107,SL DOM
2023-12-01 00:00:00,2023,12,TANTO INTIM LINE,39247,SL DOM
2023-12-02 00:00:00,2023,12,SALAM PACIFIC LINE,26392,SL DOM
2023-12-03 00:00:00,2023,12,MERATUS,4257,SL DOM
2023-12-04 00:00:00,2023,12,TEMAS,4048,SL DOM
2023-12-05 00:00:00,2023,12,ICON LINE,2506,SL DOM
2024-01-01 00:00:00,2024,1,TANTO INTIM LINE,4338,SL DOM
